Year,Rooms,Rent per m2,Rental apartment count,Sales price per m2,Sold apartments count,Municipality name,Municipality group name,Region name,Area name,Total population,0 - 14,15 - 24,25 - 44,45 - 64,65 - 74,75 -
2009.0,2,,0.0,967.0,101.0,Forssa,Kaupunkimaiset kunnat,Kanta-Häme,Etelä-Suomi,17838.5,2503.0,2082.0,3839.0,5620.0,1945.0,1849.5
2009.0,3,,0.0,986.3333333333334,46.0,Forssa,Kaupunkimaiset kunnat,Kanta-Häme,Etelä-Suomi,17838.5,2503.0,2082.0,3839.0,5620.0,1945.0,1849.5
2009.0,1,,0.0,1074.5,30.0,Hamina,Kaupunkimaiset kunnat,Kymenlaakso,Etelä-Suomi,21526.5,3222.5,2135.0,4818.0,6780.5,2404.0,2166.5
2009.0,2,,0.0,1049.5,74.0,Hamina,Kaupunkimaiset kunnat,Kymenlaakso,Etelä-Suomi,21526.5,3222.5,2135.0,4818.0,6780.5,2404.0,2166.5
2009.0,3,,0.0,1343.0,16.0,Hamina,Kaupunkimaiset kunnat,Kymenlaakso,Etelä-Suomi,21526.5,3222.5,2135.0,4818.0,6780.5,2404.0,2166.5
2009.0,1,,0.0,1388.0,14.0,Hanko,Kaupunkimaiset kunnat,Uusimaa,Helsinki-Uusimaa,9627.0,1456.5,943.0,2130.5,3174.5,1149.5,773.0
2009.0,2,,0.0,1287.0,36.0,Hanko,Kaupunkimaiset kunnat,Uusimaa,Helsinki-Uusimaa,9627.0,1456.5,943.0,2130.5,3174.5,1149.5,773.0
2009.0,3,,0.0,1236.0,25.0,Hanko,Kaupunkimaiset kunnat,Uusimaa,Helsinki-Uusimaa,9627.0,1456.5,943.0,2130.5,3174.5,1149.5,773.0
2009.0,2,,0.0,857.0,12.0,Harjavalta,Kaupunkimaiset kunnat,Satakunta,Länsi-Suomi,7564.0,1133.0,764.0,1580.5,2392.0,924.0,770.5
2009.0,3,,0.0,951.0,12.0,Harjavalta,Kaupunkimaiset kunnat,Satakunta,Länsi-Suomi,7564.0,1133.0,764.0,1580.5,2392.0,924.0,770.5
2009.0,1,,0.0,1086.5,94.0,Heinola,Kaupunkimaiset kunnat,Päijät-Häme,Etelä-Suomi,20459.5,2914.0,2053.5,4077.0,6857.5,2520.0,2037.5
2009.0,2,,0.0,912.75,149.0,Heinola,Kaupunkimaiset kunnat,Päijät-Häme,Etelä-Suomi,20459.5,2914.0,2053.5,4077.0,6857.5,2520.0,2037.5
2009.0,3,,0.0,844.5,94.0,Heinola,Kaupunkimaiset kunnat,Päijät-Häme,Etelä-Suomi,20459.5,2914.0,2053.5,4077.0,6857.5,2520.0,2037.5
2009.0,1,,0.0,3663.203703703704,2957.0,Helsinki,Kaupunkimaiset kunnat,Uusimaa,Helsinki-Uusimaa,579991.0,78975.0,76173.5,186853.0,154268.5,44624.5,39096.5
2009.0,2,,0.0,3110.939393939394,4233.0,Helsinki,Kaupunkimaiset kunnat,Uusimaa,Helsinki-Uusimaa,579991.0,78975.0,76173.5,186853.0,154268.5,44624.5,39096.5
2009.0,3,,0.0,3017.3283582089553,2867.0,Helsinki,Kaupunkimaiset kunnat,Uusimaa,Helsinki-Uusimaa,579991.0,78975.0,76173.5,186853.0,154268.5,44624.5,39096.5
2009.0,1,,0.0,1222.0,15.0,Hollola,Kaupunkimaiset kunnat,Päijät-Häme,Etelä-Suomi,23927.0,4727.0,2484.0,5691.0,7273.0,2214.0,1538.0
