Year,City,Rooms,Rent per m2,Rental apartment count,Sales price per m2,Sold apartments count,Rent €/mo vs. sales price k€ per m2
2016,Jyväskylä,1,16.05,6604,2539,394,6.321386372587633
2016,Jyväskylä,2,11.44,7962,2036,961,5.618860510805501
2016,Jyväskylä,3,10.77,2429,1958,523,5.500510725229826
2016,Seinäjoki,1,13.9,1639,2205,57,6.303854875283447
2016,Seinäjoki,2,10.19,1791,1963,150,5.191034131431482
2016,Seinäjoki,3,9.56,676,1832,110,5.218340611353712
2016,Vaasa,1,14.74,2187,2343,162,6.291079812206573
2016,Vaasa,2,9.74,1669,2096,279,4.6469465648854955
2016,Vaasa,3,8.7,496,1949,229,4.463827603899435
2016,Oulu,1,14.68,9164,2314,377,6.34399308556612
2016,Oulu,2,10.88,8508,1915,789,5.681462140992168
2016,Oulu,3,10.01,2973,1932,603,5.181159420289855
2016,Rovaniemi,1,14.9,2388,1788,171,8.333333333333334
2016,Rovaniemi,2,10.66,2429,1549,308,6.881859264041317
2016,Rovaniemi,3,10.28,1013,1502,224,6.844207723035952
2017,Helsinki,1,24.29,32243,5967,2298,4.070722306016424
2017,Helsinki,2,18.0,27083,4786,4107,3.760969494358546
2017,Helsinki,3,16.57,14220,4558,3426,3.635366388767003
2017,Espoo-Kauniainen,1,21.01,6900,4171,306,5.037161352193719
2017,Espoo-Kauniainen,2,16.42,11397,3661,989,4.485113357006282
2017,Espoo-Kauniainen,3,14.94,7109,3264,1142,4.577205882352941
2017,Vantaa,1,20.14,6751,3369,314,5.978035025230039
2017,Vantaa,2,16.13,14134,2665,1013,6.052532833020638
2017,Vantaa,3,14.86,8409,2321,852,6.402412753123653
2017,Porvoo,1,17.14,980,3001,74,5.7114295234921695
2017,Porvoo,2,12.56,1120,2457,188,5.111925111925112
2017,Porvoo,3,11.9,383,2455,135,4.84725050916497
2017,Turku,1,16.06,13092,3140,487,5.114649681528662
2017,Turku,2,12.05,10243,2301,1290,5.236853541938288
2017,Turku,3,10.72,3199,2049,1080,5.231820400195217
2017,Pori,1,13.43,2893,1693,214,7.932663910218547
2017,Pori,2,10.14,2822,1418,341,7.150916784203104
2017,Pori,3,9.35,813,1513,235,6.179775280898877
2017,Hämeenlinna,1,15.92,1885,2178,129,7.309458218549128
2017,Hämeenlinna,2,13.02,1817,1904,283,6.838235294117647
2017,Hämeenlinna,3,11.81,729,1819,149,6.492578339747114
2017,Tampere,1,17.61,17611,3167,720,5.560467319229555
2017,Tampere,2,13.08,15440,2629,1424,4.97527577025485
2017,Tampere,3,12.04,5196,2440,1006,4.934426229508197
2017,Lahti,1,15.93,6012,2274,242,7.005277044854881
2017,Lahti,2,12.64,6613,1852,625,6.825053995680346
