Year,City,Rooms,Rent per m2,Rental apartment count
2014,Lahti,1,14.78,1923
2014,Lahti,2,11.73,1862
2014,Lahti,3,10.33,577
2014,Hämeenlinna,1,14.03,721
2014,Hämeenlinna,2,11.4,763
2014,Hämeenlinna,3,10.15,289
2014,Kuopio,1,15.13,1573
2014,Kuopio,2,12.03,1773
2014,Kuopio,3,10.66,522
2014,Jyväskylä,1,15.6,2044
2014,Jyväskylä,2,11.73,2685
2014,Jyväskylä,3,10.56,802
2014,Vaasa,1,13.96,887
2014,Vaasa,2,10.81,977
2014,Vaasa,3,9.47,364
2014,Seinäjoki,1,13.23,630
2014,Seinäjoki,2,10.82,894
2014,Seinäjoki,3,9.43,373
2014,Mikkeli,1,13.39,583
2014,Mikkeli,2,10.72,597
2014,Mikkeli,3,9.59,290
2014,Joensuu,1,14.72,1262
2014,Joensuu,2,11.16,1242
2014,Joensuu,3,9.74,474
2014,Oulu,1,14.04,3015
2014,Oulu,2,11.01,3324
2014,Oulu,3,9.82,1307
2014,Rovaniemi,1,14.05,974
2014,Rovaniemi,2,11.21,1121
2014,Rovaniemi,3,9.67,467
2015,Helsinki,1,22.97,34702
2015,Helsinki,2,15.97,27355
2015,Helsinki,3,14.78,11993
2015,Espoo-Kauniainen,1,19.74,6202
2015,Espoo-Kauniainen,2,14.89,9814
2015,Espoo-Kauniainen,3,13.78,5859
2015,Vantaa,1,18.73,6626
2015,Vantaa,2,14.87,12335
2015,Vantaa,3,14.01,7107
2015,Porvoo,1,16.14,1363
2015,Porvoo,2,11.6,1831
2015,Porvoo,3,11.2,660
2015,Turku,1,15.27,14256
2015,Turku,2,10.59,11337
2015,Turku,3,9.75,3473
2015,Pori,1,13.13,3530
2015,Pori,2,9.56,3826
2015,Pori,3,8.88,1320
2015,Hämeenlinna,1,15.13,2362
2015,Hämeenlinna,2,11.8,2461
2015,Hämeenlinna,3,11.13,856
2015,Tampere,1,16.44,17996
2015,Tampere,2,11.65,16266
2015,Tampere,3,10.99,5084
2015,Lahti,1,15.2,6603
2015,Lahti,2,11.67,6526
2015,Lahti,3,10.54,1692
2015,Kotka,1,13.31,2402
2015,Kotka,2,10.33,1882
2015,Kotka,3,9.42,526
2015,Kouvola,1,12.31,2560
2015,Kouvola,2,9.82,2484
2015,Kouvola,3,9.55,837
2015,Lappeenranta,1,14.51,1897
2015,Lappeenranta,2,11.25,2077
2015,Lappeenranta,3,10.39,642
2015,Mikkeli,1,14.89,1663
2015,Mikkeli,2,9.76,1333
2015,Mikkeli,3,9.32,516
2015,Kuopio,1,15.93,5342
2015,Kuopio,2,11.03,5874
2015,Kuopio,3,10.43,1511
2015,Joensuu,1,15.04,4230
2015,Joensuu,2,9.89,3534
2015,Joensuu,3,9.6,898
2015,Jyväskylä,1,15.71,7418
2015,Jyväskylä,2,11.08,9718
2015,Jyväskylä,3,10.37,2816
2015,Seinäjoki,1,13.58,1998
2015,Seinäjoki,2,9.97,2420
2015,Seinäjoki,3,9.38,864
2015,Vaasa,1,14.41,2547
2015,Vaasa,2,9.43,2240
2015,Vaasa,3,8.38,636
2015,Oulu,1,14.3,10122
2015,Oulu,2,10.58,10148
2015,Oulu,3,9.82,3455
2015,Rovaniemi,1,14.73,2767
2015,Rovaniemi,2,10.59,3026
2015,Rovaniemi,3,10.28,1150
2016,Helsinki,1,23.71,29214
2016,Helsinki,2,16.69,23440
2016,Helsinki,3,15.57,11080
2016,Espoo-Kauniainen,1,20.61,5874
2016,Espoo-Kauniainen,2,15.52,9401
2016,Espoo-Kauniainen,3,14.34,5756
2016,Vantaa,1,19.43,6025
2016,Vantaa,2,15.45,11813
2016,Vantaa,3,14.48,7056
2016,Porvoo,1,16.52,1131
2016,Porvoo,2,11.87,1479
2016,Porvoo,3,11.81,578
2016,Turku,1,15.67,12598
2016,Turku,2,11.11,9450
2016,Turku,3,10.14,2965
2016,Pori,1,13.42,3078
2016,Pori,2,9.87,3124
2016,Pori,3,9.2,1074
2016,Hämeenlinna,1,15.51,1917
2016,Hämeenlinna,2,12.21,2118
2016,Hämeenlinna,3,11.25,760
2016,Tampere,1,16.73,14649
2016,Tampere,2,11.97,13285
2016,Tampere,3,11.32,4445
2016,Lahti,1,15.64,5833
2016,Lahti,2,12.41,5368
2016,Lahti,3,11.23,1476
2016,Kotka,1,13.49,1975
2016,Kotka,2,10.39,1472
2016,Kotka,3,9.68,473
2016,Kouvola,1,12.46,2246
2016,Kouvola,2,10.0,1931
2016,Kouvola,3,9.61,688
2016,Lappeenranta,1,14.79,1706
2016,Lappeenranta,2,11.91,1728
2016,Lappeenranta,3,10.41,547
2016,Mikkeli,1,14.91,1418
2016,Mikkeli,2,10.05,1024
2016,Mikkeli,3,9.63,349
2016,Kuopio,1,16.19,4681
2016,Kuopio,2,11.61,4637
2016,Kuopio,3,10.91,1291
2016,Joensuu,1,15.4,3625
2016,Joensuu,2,10.26,2711
2016,Joensuu,3,9.83,693
2016,Jyväskylä,1,16.05,6604
2016,Jyväskylä,2,11.44,7962
2016,Jyväskylä,3,10.77,2429
2016,Seinäjoki,1,13.9,1639
2016,Seinäjoki,2,10.19,1791
2016,Seinäjoki,3,9.56,676
2016,Vaasa,1,14.74,2187
2016,Vaasa,2,9.74,1669
2016,Vaasa,3,8.7,496
2016,Oulu,1,14.68,9164
2016,Oulu,2,10.88,8508
2016,Oulu,3,10.01,2973
2016,Rovaniemi,1,14.9,2388
2016,Rovaniemi,2,10.66,2429
2016,Rovaniemi,3,10.28,1013
2017,Helsinki,1,24.29,32243
2017,Helsinki,2,18.0,27083
2017,Helsinki,3,16.57,14220
2017,Espoo-Kauniainen,1,21.01,6900
2017,Espoo-Kauniainen,2,16.42,11397
2017,Espoo-Kauniainen,3,14.94,7109
2017,Vantaa,1,20.14,6751
2017,Vantaa,2,16.13,14134
2017,Vantaa,3,14.86,8409
2017,Porvoo,1,17.14,980
2017,Porvoo,2,12.56,1120
2017,Porvoo,3,11.9,383
2017,Turku,1,16.06,13092
2017,Turku,2,12.05,10243
2017,Turku,3,10.72,3199
2017,Pori,1,13.43,2893
2017,Pori,2,10.14,2822
2017,Pori,3,9.35,813
2017,Hämeenlinna,1,15.92,1885
2017,Hämeenlinna,2,13.02,1817
2017,Hämeenlinna,3,11.81,729
2017,Tampere,1,17.61,17611
2017,Tampere,2,13.08,15440
2017,Tampere,3,12.04,5196
2017,Lahti,1,15.93,6012
2017,Lahti,2,12.64,6613
2017,Lahti,3,11.28,2043
2017,Kotka,1,13.67,1987
2017,Kotka,2,10.77,1402
2017,Kotka,3,9.8,486
2017,Kouvola,1,12.55,2293
2017,Kouvola,2,10.03,1941
2017,Kouvola,3,9.24,663
2017,Lappeenranta,1,15.98,1735
2017,Lappeenranta,2,12.62,1672
2017,Lappeenranta,3,11.14,581
2017,Mikkeli,1,15.36,1398
2017,Mikkeli,2,11.32,942
2017,Mikkeli,3,10.32,260
2017,Kuopio,1,16.79,5413
2017,Kuopio,2,13.04,5412
2017,Kuopio,3,11.64,1707
2017,Joensuu,1,15.91,3696
2017,Joensuu,2,11.37,2403
2017,Joensuu,3,9.86,529
2017,Jyväskylä,1,16.63,6945
2017,Jyväskylä,2,12.57,8317
2017,Jyväskylä,3,11.33,2846
2017,Seinäjoki,1,14.27,1581
2017,Seinäjoki,2,10.91,1853
2017,Seinäjoki,3,10.11,698
2017,Vaasa,1,15.11,2180
2017,Vaasa,2,10.83,1561
2017,Vaasa,3,9.52,482
2017,Oulu,1,15.22,10096
