"Vuosi";"Alue";"Huoneluku";"Rahoitusmuoto";"Lukumäärä";"Neliövuokra (eur/m2)"
"2016";"Espoo-Kauniainen 3";"Kaksiot";"Vapaarahoitteinen";4322;14.79
"2016";"Espoo-Kauniainen 3";"Kolmiot+";"Vapaarahoitteinen";2871;13.82
"2016";"Vantaa";"Yksiöt";"Vapaarahoitteinen";6025;19.43
"2016";"Vantaa";"Kaksiot";"Vapaarahoitteinen";11813;15.45
"2016";"Vantaa";"Kolmiot+";"Vapaarahoitteinen";7056;14.48
"2016";"Vantaa 1";"Yksiöt";"Vapaarahoitteinen";1096;20.19
"2016";"Vantaa 1";"Kaksiot";"Vapaarahoitteinen";2773;16.39
"2016";"Vantaa 1";"Kolmiot+";"Vapaarahoitteinen";1511;15.56
"2016";"Vantaa 2";"Yksiöt";"Vapaarahoitteinen";4929;19.08
"2016";"Vantaa 2";"Kaksiot";"Vapaarahoitteinen";9040;14.80
"2016";"Vantaa 2";"Kolmiot+";"Vapaarahoitteinen";5545;13.74
"2016";"Kehyskunnat";"Yksiöt";"Vapaarahoitteinen";5210;16.49
"2016";"Kehyskunnat";"Kaksiot";"Vapaarahoitteinen";6226;12.76
"2016";"Kehyskunnat";"Kolmiot+";"Vapaarahoitteinen";2638;12.14
"2016";"Porvoo";"Yksiöt";"Vapaarahoitteinen";1131;16.52
"2016";"Porvoo";"Kaksiot";"Vapaarahoitteinen";1479;11.87
"2016";"Porvoo";"Kolmiot+";"Vapaarahoitteinen";578;11.81
"2016";"Hyvinkää";"Yksiöt";"Vapaarahoitteinen";1131;16.88
"2016";"Hyvinkää";"Kaksiot";"Vapaarahoitteinen";976;12.61
"2016";"Hyvinkää";"Kolmiot+";"Vapaarahoitteinen";235;12.87
"2016";"Järvenpää";"Yksiöt";"Vapaarahoitteinen";975;17.47
"2016";"Järvenpää";"Kaksiot";"Vapaarahoitteinen";1261;12.97
"2016";"Järvenpää";"Kolmiot+";"Vapaarahoitteinen";466;12.33
"2016";"Kerava";"Yksiöt";"Vapaarahoitteinen";906;17.71
"2016";"Kerava";"Kaksiot";"Vapaarahoitteinen";1679;13.43
"2016";"Kerava";"Kolmiot+";"Vapaarahoitteinen";745;12.56
"2016";"Varsinais-Suomi";"Yksiöt";"Vapaarahoitteinen";15137;14.69
"2016";"Varsinais-Suomi";"Kaksiot";"Vapaarahoitteinen";11957;10.64
"2016";"Varsinais-Suomi";"Kolmiot+";"Vapaarahoitteinen";4111;9.78
"2016";"Turku";"Yksiöt";"Vapaarahoitteinen";12598;15.67
"2016";"Turku";"Kaksiot";"Vapaarahoitteinen";9450;11.11
"2016";"Turku";"Kolmiot+";"Vapaarahoitteinen";2965;10.14
"2016";"Turku 1";"Yksiöt";"Vapaarahoitteinen";7771;16.28
"2016";"Turku 1";"Kaksiot";"Vapaarahoitteinen";5251;11.39
"2016";"Turku 1";"Kolmiot+";"Vapaarahoitteinen";1335;10.37
"2016";"Turku 2";"Yksiöt";"Vapaarahoitteinen";2000;15.87
"2016";"Turku 2";"Kaksiot";"Vapaarahoitteinen";1133;11.62
"2016";"Turku 2";"Kolmiot+";"Vapaarahoitteinen";197;9.79
"2016";"Turku 3";"Yksiöt";"Vapaarahoitteinen";2827;14.04
"2016";"Turku 3";"Kaksiot";"Vapaarahoitteinen";3066;10.42
"2016";"Turku 3";"Kolmiot+";"Vapaarahoitteinen";1433;10.01
"2016";"Satakunta";"Yksiöt";"Vapaarahoitteinen";4725;12.78
"2016";"Satakunta";"Kaksiot";"Vapaarahoitteinen";4864;9.47
