"Vuosi";"Alue";"Rahoitusmuoto";"Luokka";"Neliövuokra, euroa/m2/kk";"Lukumäärä"
"2011";"Kehyskunnat";"Vapaarahoitteinen";"2h";10.74;1598
"2011";"Kehyskunnat";"Vapaarahoitteinen";"3h+";9.40;818
"2011";"Porvoo";"Vapaarahoitteinen";"1h";13.82;263
"2011";"Porvoo";"Vapaarahoitteinen";"2h";10.65;289
"2011";"Porvoo";"Vapaarahoitteinen";"3h+";9.39;143
"2011";"Tampere";"Vapaarahoitteinen";"1h";14.26;4264
"2011";"Tampere";"Vapaarahoitteinen";"2h";11.36;3715
"2011";"Tampere";"Vapaarahoitteinen";"3h+";10.03;1256
"2011";"Tampere 1";"Vapaarahoitteinen";"1h";15.19;2252
"2011";"Tampere 1";"Vapaarahoitteinen";"2h";11.81;1858
"2011";"Tampere 1";"Vapaarahoitteinen";"3h+";10.33;499
"2011";"Tampere 2";"Vapaarahoitteinen";"1h";12.33;658
"2011";"Tampere 2";"Vapaarahoitteinen";"2h";11.24;625
"2011";"Tampere 2";"Vapaarahoitteinen";"3h+";10.01;197
"2011";"Tampere 3";"Vapaarahoitteinen";"1h";12.94;1354
"2011";"Tampere 3";"Vapaarahoitteinen";"2h";10.57;1232
"2011";"Tampere 3";"Vapaarahoitteinen";"3h+";9.62;560
"2011";"Turku";"Vapaarahoitteinen";"1h";13.69;4120
"2011";"Turku";"Vapaarahoitteinen";"2h";10.68;2897
"2011";"Turku";"Vapaarahoitteinen";"3h+";9.27;1140
"2011";"Turku 1";"Vapaarahoitteinen";"1h";14.35;2279
"2011";"Turku 1";"Vapaarahoitteinen";"2h";11.37;1629
"2011";"Turku 1";"Vapaarahoitteinen";"3h+";9.84;462
"2011";"Turku 2";"Vapaarahoitteinen";"1h";13.51;632
"2011";"Turku 2";"Vapaarahoitteinen";"2h";10.39;369
"2011";"Turku 2";"Vapaarahoitteinen";"3h+";9.10;124
"2011";"Turku 3";"Vapaarahoitteinen";"1h";12.13;1209
"2011";"Turku 3";"Vapaarahoitteinen";"2h";9.47;899
"2011";"Turku 3";"Vapaarahoitteinen";"3h+";8.54;554
"2011";"Pori";"Vapaarahoitteinen";"1h";11.68;1465
"2011";"Pori";"Vapaarahoitteinen";"2h";9.22;1486
"2011";"Pori";"Vapaarahoitteinen";"3h+";8.18;629
"2011";"Pori 1";"Vapaarahoitteinen";"1h";12.30;864
"2011";"Pori 1";"Vapaarahoitteinen";"2h";9.98;790
"2011";"Pori 1";"Vapaarahoitteinen";"3h+";8.51;305
"2011";"Pori 2";"Vapaarahoitteinen";"1h";10.66;601
"2011";"Pori 2";"Vapaarahoitteinen";"2h";8.32;696
"2011";"Pori 2";"Vapaarahoitteinen";"3h+";7.86;324
"2011";"Rauma";"Vapaarahoitteinen";"1h";11.51;329
"2011";"Rauma";"Vapaarahoitteinen";"2h";9.25;427
"2011";"Rauma";"Vapaarahoitteinen";"3h+";8.10;221
"2011";"Lappeenranta";"Vapaarahoitteinen";"1h";13.01;742
"2011";"Lappeenranta";"Vapaarahoitteinen";"2h";10.37;678
"2011";"Lappeenranta";"Vapaarahoitteinen";"3h+";9.13;285
"2011";"Lappeenranta 1";"Vapaarahoitteinen";"1h";14.00;404
"2011";"Lappeenranta 1";"Vapaarahoitteinen";"2h";11.39;320
"2011";"Lappeenranta 1";"Vapaarahoitteinen";"3h+";9.74;96
"2011";"Lappeenranta 2";"Vapaarahoitteinen";"1h";11.35;338
"2011";"Lappeenranta 2";"Vapaarahoitteinen";"2h";9.28;358
"2011";"Lappeenranta 2";"Vapaarahoitteinen";"3h+";8.62;189
"2011";"Kotka";"Vapaarahoitteinen";"1h";11.92;848
"2011";"Kotka";"Vapaarahoitteinen";"2h";9.48;707
"2011";"Kotka";"Vapaarahoitteinen";"3h+";8.43;269
"2011";"Kotka 1";"Vapaarahoitteinen";"1h";13.04;363
"2011";"Kotka 1";"Vapaarahoitteinen";"2h";10.31;306
"2011";"Kotka 1";"Vapaarahoitteinen";"3h+";8.85;84
"2011";"Kotka 2";"Vapaarahoitteinen";"1h";10.88;485
"2011";"Kotka 2";"Vapaarahoitteinen";"2h";8.74;401
"2011";"Kotka 2";"Vapaarahoitteinen";"3h+";8.12;185
"2011";"Kouvola";"Vapaarahoitteinen";"1h";11.06;918
"2011";"Kouvola";"Vapaarahoitteinen";"2h";9.01;901
"2011";"Kouvola";"Vapaarahoitteinen";"3h+";7.56;397
"2011";"Lahti";"Vapaarahoitteinen";"1h";13.22;1882
"2011";"Lahti";"Vapaarahoitteinen";"2h";10.71;1727
