"Vuosi";"Alue";"Talotyyppi";"Neliöhinta (EUR/m2)";"Kauppojen lukumäärä, varainsiirtoverotiedot vuoteen 2019 asti";"Kauppojen lukumäärä, varainsiirtoverotiedot vuodesta 2020 alkaen"
"2011";"Hämeenlinna 2";"Kerrostalo kolmiot+";1348;73;.
"2011";"Riihimäki";"Kerrostalo yksiöt";1734;93;.
"2011";"Riihimäki";"Kerrostalo kaksiot";1567;197;.
"2011";"Riihimäki";"Kerrostalo kolmiot+";1539;117;.
"2011";"Pirkanmaa";"Kerrostalo yksiöt";2376;1203;.
"2011";"Pirkanmaa";"Kerrostalo kaksiot";2066;2579;.
"2011";"Pirkanmaa";"Kerrostalo kolmiot+";1992;1675;.
"2011";"Tampere";"Kerrostalo yksiöt";2691;836;.
"2011";"Tampere";"Kerrostalo kaksiot";2348;1722;.
"2011";"Tampere";"Kerrostalo kolmiot+";2244;1105;.
"2011";"Tampere 1";"Kerrostalo yksiöt";3066;441;.
"2011";"Tampere 1";"Kerrostalo kaksiot";2800;767;.
"2011";"Tampere 1";"Kerrostalo kolmiot+";2781;474;.
"2011";"Tampere 2";"Kerrostalo yksiöt";2353;143;.
"2011";"Tampere 2";"Kerrostalo kaksiot";2168;324;.
"2011";"Tampere 2";"Kerrostalo kolmiot+";2122;137;.
"2011";"Tampere 3";"Kerrostalo yksiöt";2039;252;.
"2011";"Tampere 3";"Kerrostalo kaksiot";1679;631;.
"2011";"Tampere 3";"Kerrostalo kolmiot+";1564;494;.
"2011";"Päijät-Häme";"Kerrostalo yksiöt";1698;576;.
"2011";"Päijät-Häme";"Kerrostalo kaksiot";1550;1284;.
"2011";"Päijät-Häme";"Kerrostalo kolmiot+";1574;828;.
"2011";"Lahti";"Kerrostalo yksiöt";1977;391;.
"2011";"Lahti";"Kerrostalo kaksiot";1731;961;.
"2011";"Lahti";"Kerrostalo kolmiot+";1726;635;.
"2011";"Lahti 1";"Kerrostalo yksiöt";2392;191;.
"2011";"Lahti 1";"Kerrostalo kaksiot";2291;363;.
"2011";"Lahti 1";"Kerrostalo kolmiot+";2326;263;.
"2011";"Lahti 2";"Kerrostalo yksiöt";1605;200;.
"2011";"Lahti 2";"Kerrostalo kaksiot";1367;598;.
"2011";"Lahti 2";"Kerrostalo kolmiot+";1302;372;.
"2011";"Kymenlaakso";"Kerrostalo yksiöt";1197;429;.
"2011";"Kymenlaakso";"Kerrostalo kaksiot";1207;808;.
"2011";"Kymenlaakso";"Kerrostalo kolmiot+";1280;433;.
"2011";"Kotka";"Kerrostalo yksiöt";1287;216;.
"2011";"Kotka";"Kerrostalo kaksiot";1284;348;.
"2011";"Kotka";"Kerrostalo kolmiot+";1415;180;.
"2011";"Kotka 1";"Kerrostalo yksiöt";1650;93;.
"2011";"Kotka 1";"Kerrostalo kaksiot";1575;177;.
"2011";"Kotka 1";"Kerrostalo kolmiot+";1792;80;.
"2011";"Kotka 2";"Kerrostalo yksiöt";977;123;.
"2011";"Kotka 2";"Kerrostalo kaksiot";1021;171;.
"2011";"Kotka 2";"Kerrostalo kolmiot+";1018;100;.
"2011";"Kouvola";"Kerrostalo yksiöt";1115;172;.
"2011";"Kouvola";"Kerrostalo kaksiot";1163;395;.
"2011";"Kouvola";"Kerrostalo kolmiot+";1188;215;.
"2011";"Etelä-Karjala";"Kerrostalo yksiöt";1621;283;.
"2011";"Etelä-Karjala";"Kerrostalo kaksiot";1543;575;.
"2011";"Etelä-Karjala";"Kerrostalo kolmiot+";1588;355;.
"2011";"Lappeenranta";"Kerrostalo yksiöt";1950;181;.
"2011";"Lappeenranta";"Kerrostalo kaksiot";1804;403;.
"2011";"Lappeenranta";"Kerrostalo kolmiot+";1803;231;.
